frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
219, 12, 221, 7300.000000, 7334.533333, 7373.666667, 34.533333, 73.666667
220, 12, 222, 7333.333333, 7367.866667, 7407.000000, 34.533333, 73.666667
221, 12, 223, 7366.666667, 7401.200000, 7440.333333, 34.533333, 73.666667
222, 11, 224, 7400.000000, 7434.433333, 7473.666667, 34.433333, 73.666667
223, 9, 225, 7433.333333, 7467.566667, 7507.000000, 34.233333, 73.666667
224, 10, 226, 7466.666667, 7501.000000, 7540.333333, 34.333333, 73.666667
225, 8, 227, 7500.000000, 7534.133333, 7573.666667, 34.133333, 73.666667
226, 9, 228, 7533.333333, 7567.566667, 7607.000000, 34.233333, 73.666667
227, 7, 229, 7566.666667, 7600.700000, 7640.333333, 34.033333, 73.666667
228, 8, 230, 7600.000000, 7634.133333, 7673.666667, 34.133333, 73.666667
229, 7, 231, 7633.333333, 7667.366667, 7707.000000, 34.033333, 73.666667
230, 10, 232, 7666.666667, 7701.000000, 7740.333333, 34.333333, 73.666667
231, 9, 233, 7700.000000, 7734.233333, 7773.666667, 34.233333, 73.666667
232, 9, 234, 7733.333333, 7767.566667, 7807.000000, 34.233333, 73.666667
233, 10, 235, 7766.666667, 7801.000000, 7840.333333, 34.333333, 73.666667
234, 10, 236, 7800.000000, 7834.333333, 7873.666667, 34.333333, 73.666667
235, 12, 237, 7833.333333, 7867.866667, 7907.000000, 34.533333, 73.666667
236, 10, 238, 7866.666667, 7901.000000, 7940.333333, 34.333333, 73.666667
237, 8, 239, 7900.000000, 7934.133333, 7973.666667, 34.133333, 73.666667
238, 9, 240, 7933.333333, 7967.566667, 8007.000000, 34.233333, 73.666667
239, 6, 241, 7966.666667, 8000.600000, 8040.333333, 33.933333, 73.666667
240, 7, 242, 8000.000000, 8034.033333, 8073.666667, 34.033333, 73.666667
241, 8, 243, 8033.333333, 8067.466667, 8107.000000, 34.133333, 73.666667
242, 7, 244, 8066.666667, 8100.700000, 8140.333333, 34.033333, 73.666667
